"Rehm, Sven-Volker",2015,17
"Bachynskyi, Myroslav",2015,25
"Forstner, Eva",2014,28
"Heimbach, Irina",2015,26
"Leimeister, Jan Marco",2014,23
"Alt, Rainer",2014,12
"Römer, Benedikt",2015,22
"Alt, Rainer",2014,3
"Häckel, Björn",2015,2
"Alt, Rainer",2014,2
"Roeber, Bjoern",2015,21
"Wohlgemuth, Sven",2014,7
"Wagner, Thomas M.",2014,77
"Schwister, Fabian",2015,10
"Kranz, Johann",2015,26
"Alt, Rainer",2014,25
"Ludwig, Thomas",2015,43
"Stich, Lucas",2014,20
"Schaarschmidt, Mario",2015,42
"Alt, Rainer",2014,7
"Alt, Rainer",2014,1
"Alt, Rainer",2015,4
"Rechert, Klaus",2014,5
"Beimborn, Daniel",2014,6
"Alt, Rainer",2013,2
"Repschlaeger, Jonas",2013,33
"Alt, Rainer",2013,1
"Hertel, Michael",2013,36
"Alt, Rainer",2013,1
"Gräuler, Matthias",2013,13
"Beck, Roman",2013,42
"Gerpott, Torsten J.",2014,12
"Löser, Alexander",2013,4
"Schwartz, Tobias",2013,32
"Williams, Susan P.",2013,22
"Kuettner, Tim",2013,21
"Weiss, Thomas",2013,62
"Reichhart, Philipp",2013,26
"Alt, Rainer",2013,0
"Nottorf, Florian",2013,15
"Reimers, Kai",2013,15
"Heidemann, Julia",2013,8
"Alt, Rainer",2014,6
"Hoffmann, Jörg",2012,43
"Buhl, Hans Ulrich",2013,3
"Hertwig, Markus",2012,22
"Martens, Benedikt",2012,132
"Alt, Rainer",2012,0
"Voisard, Agnès",2012,6
"Katzmarzik, Ame",2012,5
"Alt, Rainer",2012,0
"Fridgen, Gilbert",2013,6
"Alt, Rainer",2012,54
"Alt, R.",2012,0
"Ly, Linh Thao",2012,74
"Hassenzahl, Marc",2012,146
"Ha, Kyung-Hun",2012,50
"Menschner, Philipp",2011,34
"Fischbach, Kai",2011,44
"Hess, Thomas",2011,8
"Ziekow, Holger",2010,2
"Takac, Carsten",2011,19
"Heinrich, Bernd",2011,17
"Czarnecki, Christian",2010,9
"Loebbecke, Claudia",2010,7
"Schwieren, Joachim",2010,4
"Gerpott, Torsten J.",2011,22
"Alt, Rainer",2011,68
"Peinl, René",2011,8
"Panchenko, Oleksandr",2011,2
"Löhe, Jan",2010,15
"Backhaus, Klaus",2010,16
"Adam, Marc T. P.",2011,38
"Hu, Ji",2011,7
"Spann, Martin",2010,1
"Strecker, Stefan",2011,56
"Bog, Anja",2011,11
"Klenk, Sebastian",2009,9
"Wulf, Jochen",2010,8
"Goebel, Christoph",2009,8
"Stevens, Gunnar",2009,13
"Pinkwart, Niels",2009,6
"Thoroe, Lars",2009,24
"Laumer, Sven",2010,30
"Beck, Roman",2008,31
"Kundisch, Dennis",2008,3
"Wüllenweber, Kim",2008,130
"Brenner, Daniel",2007,36
"Winkler, Jessica K.",2008,138
"Book, Matthias",2007,2
"Ullmer, Brygg",2005,148
"Stolzenburg, Frieder",2006,5
"Lang, Florian",2006,4
"Chen, Libo",2005,2
"Ziegler, Cai-Nicolas",2005,249
"Enzmann, Matthias",2005,16
"Schoop, Mareike",2002,16
"Andrienko, Gennady",2003,44
"Schoop, Mareike",2004,10
"Meier, Marco",2001,1
"Althoff, Klaus-Dieter",2000,15
"Lehner, Franz",2000,45
"Wirtz, G.",2001,19
"Abecker, Andreas",2000,87
"Prechelt, Lutz",2001,49
"Klein, Stefan",2000,15
"Mohanani, Rahul",2022,2
"Jung, Jean Christoph",2022,0
"Gévay, Gábor E.",2022,2
"Kortmann, Felix",2022,0
"Hottung, André",2022,0
"Kannengieser, Niclas",2022,1
"Kern-Isberner, Gabriele",2023,0
"Blücher, Stefan",2022,0
"Eismann, Simon",2022,2
"Frummet, Alexander",2022,2
"Kaya, Muhammed-Fatih",2022,0
"Seibt, Georg",2022,0
"Mauerer, Wolfgang",2022,1
"Bodendorf, Frank",2022,0
"Baumann, Ringo",2022,2
"Okhrin, Ostap",2022,0
"Klesel, Michael",2022,1
"Braun, Michael",2022,10
"Gorski, Peter Leo",2022,1
"Kuhrmann, Marco",2022,7
"Lutz, Carsten",2022,0
"Dann, Andreas",2022,1
"Kaya, Muhammed-Fatih",2022,1
"Schoop, Mareike",2022,0
"Schmid, Andreas",2022,1
"Janke, Mario",2022,2
"Do, Lisa Nguyen Quang",2022,6
"Bredereck, Robert",2022,1
"Gaß, Maximilian",2022,0
"Werder, Karl",2022,0
"Grazia, Luca Di",2022,0
"Knuth, Tobias",2022,1
"Reining, Stefan",2022,3
"Mazei, Jens",2022,0
"Do, Lisa Nguyen Quang",2022,0
"Ebbers, Frank",2022,0
"Swoboda, Bernhard",2022,1
"Hoffmann, Marco",2022,0
"Kruger, Stefan",2021,6
"Teng, Long",2021,1
"Eichler, Rebecca",2021,6
"Herbold, Steffen",2021,6
"Kiesel, Johannes",2021,1
"Huber, Tobias",2021,9
"Geiger, Ingmar",2021,0
"Barcomb, Ann",2022,7
"Brill, Markus",2022,0
"Maass, Wolfgang",2021,8
"Beierle, Christoph",2021,13
"Muntean, Paul",2021,3
"Dann, Andreas",2021,2
"Langer, Markus",2021,71
"Suchan, Jakob",2021,5
"Neveling, Marc",2021,4
"Kietzmann, Peter",2021,11
"Tangian, Andranik",2021,1
"Rafiei, Majid",2021,10
"Mader, Patrick",2021,1
"Peldszus, Sven",2021,4
"Costa, DIego",2021,7
"Werder, Karl",2021,0
"Haag, Steffi",2021,5
"Distler, Tobias",2021,9
"Meurisch, Christian",2021,6
"Baumeister, Dorothea",2021,13
"Heinrich, Robert",2021,5
"Schmidt, Marco",2021,3
"Zimmerling, Marco",2021,17
"Belak, Christoph",2021,0
"Vale, Gustavo",2021,3
"Weinert, Christoph",2020,2
"Bredereck, Robert",2021,5
"Engesser, Thorsten",2021,3
"Thrun, Michael C.",2021,34
"Brylla, Daniel",2020,4
"Häckel, Björn",2020,0
"Ulbricht, Markus",2020,3
"Zepf, Sebastian",2020,44
"Boden, Joe",2020,4
"Weisenburger, Pascal",2020,4
"Feldmann, Michael",2020,5
"Do, Lisa Nguyen Quang",2020,3
"Ermakova, Tatiana",2020,11
"Corea, Carl",2020,3
"Lindner, Felix",2020,8
"Gaggl, Sarah A.",2020,34
